Date of Shipment,Suppliers                                  Region,Grade,Moisture Content,Turnaround Days,Value
8/24/2025,Bornu,Grade 1,12.4,24,"  107,800.00 "
9/1/2025,Yobe,Grade 1,11.5,17,"  107,800.00 "
9/8/2025,Kano,Grade 2,13.8,13,"  41,900.00 "
9/15/2025,Jigawa,Grade 1,10.9,13,"  107,800.00 "
9/22/2025,Bornu,Grade 2,15.8,29,"  35,800.00 "
9/29/2025,Yobe,Grade 2,13.2,22,"  39,400.00 "
10/6/2025,Buni Yadi,Grade 1,10.4,10,"  48,200.00 "
10/13/2025,Jigawa,Grade 2,12.4,15,"  42,200.00 "
10/20/2025,Bornu,Grade 1,12.9,21,"  107,800.00 "
10/27/2025,Yobe,Grade 1,11.2,16,"  107,800.00 "
11/3/2025,Kano,Grade 2,14,12,"  40,000.00 "
11/10/2025,Jigawa,Grade 1,11.1,14,"  104,200.00 "
11/17/2025,Bornu,Grade 2,15.4,25,"  36,900.00 "
11/24/2025,Bornu,Grade 2,13.6,19,"  39,000.00 "
12/1/2025,Buni Yadi,Grade 1,10.8,11,"  105,800.00 "
12/8/2025,Jigawa,Grade 2,12.8,17,"  41,100.00 "
12/15/2025,Bornu,Grade 1,12.6,23,"  102,400.00 "
12/22/2025,Yobe,Grade 1,11.4,18,"  102,400.00 "
12/29/2025,Kano,Grade 2,14.6,14,"  38,900.00 "
1/5/2026,Buni Yadi,Grade 1,10.7,13,"  102,000.00 "
1/12/2026,Bornu,Grade 2,15,26,"  37,300.00 "
1/19/2026,Yobe,Grade 2,13.1,20,"  39,800.00 "
1/26/2026,Buni Yadi,Grade 1,11.1,10,"  102,000.00 "
2/2/2026,Jigawa,Grade 2,12.6,16,"  41,700.00 "
2/9/2026,Bornu,Grade 1,12.2,22,"  102,000.00 "
2/16/2026,Yobe,Grade 1,11,15,"  102,000.00 "
2/23/2026,Kano,Grade 2,14.3,13,"  39,300.00 "
3/2/2026,Damaturu,Grade 1,10.9,14,"  46,900.00 "
3/9/2026,Bornu,Grade 2,15.7,28,"  36,000.00 "
3/16/2026,Yobe,Grade 2,13.5,21,"  39,200.00 "
3/23/2026,Buni Yadi,Grade 1,10.5,11,"  102,000.00 "
3/30/2026,Jigawa,Grade 2,12.3,15,"  42,400.00 "
4/6/2026,Bornu,Grade 1,12.8,24,"  102,000.00 "
4/13/2026,Yobe,Grade 1,11.3,17,"  102,000.00 "
4/20/2026,Kano,Grade 2,13.9,12,"  40,300.00 "
4/27/2026,Jigawa,Grade 1,11.2,13,"  102,000.00 "
5/4/2026,Bornu,Grade 2,15.3,27,"  37,100.00 "
5/11/2026,Yobe,Grade 2,13.7,19,"  38,700.00 "
5/18/2026,Buni Yadi,Grade 1,10.6,10,"  102,000.00 "
5/25/2026,Jigawa,Grade 2,12.9,16,"  41,300.00 "
6/1/2026,Bornu,Grade 1,12.5,23,"  102,000.00 "
6/8/2026,Yobe,Grade 1,11.6,16,"  102,000.00 "
6/15/2026,Kano,Grade 2,14.4,14,"  39,000.00 "
6/22/2026,Buni Yadi,Grade 1,10.8,12,"  102,000.00 "
6/29/2026,Bornu,Grade 2,15.9,30,"  35,200.00 "
7/6/2026,Yobe,Grade 2,13.3,22,"  39,600.00 "
7/13/2026,Damaturu,Grade 1,10.3,9,"  102,000.00 "
7/20/2026,Jigawa,Grade 2,12.5,14,"  42,000.00 "
7/27/2026,Buni Yadi,Grade 1,13.1,21,"  102,000.00 "
8/3/2026,Yobe,Grade 1,11.1,18,"  102,000.00 "
8/10/2026,Kano,Grade 2,14.1,13,"  39,700.00 "
8/17/2026,Buni Yadi,Grade 1,11,13,"  102,000.00 "
8/24/2026,Bornu,Grade 2,15.2,25,"  37,400.00 "
8/31/2026,Yobe,Grade 2,13.8,20,"  38,500.00 "
9/7/2026,Buni Yadi,Grade 1,10.7,11,"  102,000.00 "
9/14/2026,Jigawa,Grade 2,12.7,17,"  41,400.00 "
9/21/2026,Buni Yadi,Grade 1,12.3,22,"  107,600.00 "
9/28/2026,Buni Yadi,Grade 1,11.5,17,"  107,600.00 "
10/5/2026,Kano,Grade 2,14.5,15,"  38,800.00 "
10/12/2026,Buni Yadi,Grade 1,10.6,12,"  102,000.00 "
10/19/2026,Bornu,Grade 2,15.6,29,"  36,200.00 "
10/26/2026,Yobe,Grade 2,13.2,21,"  39,900.00 "
11/2/2026,Buni Yadi,Grade 1,10.4,10,"  102,000.00 "
11/9/2026,Jigawa,Grade 2,12.2,14,"  42,500.00 "
11/16/2026,Buni Yadi,Grade 1,12.7,23,"  102,000.00 "
11/23/2026,Yobe,Grade 1,11.4,Buni Yadi,"  102,000.00 "
11/30/2026,Kano,Grade 2,14,12,"  40,200.00 "
